order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,half_year_recommendation,one_year_target_price,one_year_recommendation
000050.XSHE,2016-07-04,东海证券,,,2,1,2016-07-05 13:21:21,2016-07-05 13:21:21,2.0,,,,
000050.XSHE,2016-07-05,财信证券,,,2,1,2016-07-08 14:29:29,2016-07-08 14:29:29,2.0,,,,
000050.XSHE,2016-07-06,中金公司,22.2800,M06,2,1,2016-07-06 14:29:47,2016-07-06 14:29:47,2.0,22.28,,,
000050.XSHE,2016-07-07,国新证券,,,2,1,2016-07-11 21:30:36,2016-07-11 21:30:36,2.0,,,,
000050.XSHE,2016-07-11,渤海证券,,,2,1,2016-07-11 16:21:02,2016-07-11 16:21:02,2.0,,,,
000050.XSHE,2016-07-12,兴业证券,,,2,1,2016-07-12 16:20:59,2016-07-12 16:20:59,2.0,,,,
000050.XSHE,2016-07-17,兴业证券,,,2,1,2016-07-18 14:30:01,2016-07-18 14:30:01,2.0,,,,
000050.XSHE,2016-07-24,兴业证券,,,2,1,2016-07-25 12:11:19,2016-07-25 12:11:19,2.0,,,,
000050.XSHE,2016-07-24,中金财富,29.6000,M06,1,1,2016-07-25 14:29:38,2016-07-25 14:29:38,1.0,29.6,,,
000050.XSHE,2016-07-26,渤海证券,,,2,1,2016-07-26 21:31:05,2016-07-26 21:31:05,2.0,,,,
000050.XSHE,2016-07-27,东北证券,,,1,1,2016-07-27 12:11:32,2016-07-27 12:11:32,1.0,,,,
000050.XSHE,2016-07-31,兴业证券,,,2,1,2016-08-01 11:25:51,2016-08-01 11:25:51,2.0,,,,
000050.XSHE,2016-08-07,兴业证券,,,2,1,2016-08-08 17:29:24,2016-08-08 17:29:24,2.0,,,,
000050.XSHE,2016-08-08,中金公司,22.2800,M06,2,1,2016-08-08 13:20:34,2016-08-08 13:20:34,2.0,22.28,,,
000050.XSHE,2016-08-14,兴业证券,,,2,1,2016-08-15 12:11:19,2016-08-15 12:11:19,2.0,,,,
000050.XSHE,2016-08-21,兴业证券,,,2,1,2016-08-22 16:21:22,2016-08-22 16:21:22,2.0,,,,
000050.XSHE,2016-08-24,中金财富,28.1000,M06,1,1,2016-08-25 16:25:47,2016-08-25 16:25:47,1.0,28.1,,,
000050.XSHE,2016-08-24,兴业证券,,,2,1,2016-08-25 11:48:34,2016-08-25 11:48:34,2.0,,,,
000050.XSHE,2016-08-25,国金证券,26.1000,M06,1,1,2016-08-26 21:31:04,2016-08-26 21:31:04,1.0,26.1,,,
000050.XSHE,2016-08-25,中金公司,23.8400,M06,2,1,2016-08-25 13:21:35,2016-08-25 13:21:35,2.0,23.84,,,
000050.XSHE,2016-08-26,东北证券,,,1,1,2016-08-26 21:31:04,2016-08-26 21:31:04,1.0,,,,
000050.XSHE,2016-08-28,兴业证券,,,2,1,2016-08-29 14:52:32,2016-08-29 14:52:32,2.0,,,,
000050.XSHE,2016-09-05,财信证券,,,2,1,2016-09-08 11:48:44,2016-09-08 11:48:44,2.0,,,,
000050.XSHE,2016-09-07,中金公司,,,2,1,2016-09-07 13:20:52,2016-09-07 13:20:52,2.0,,,,
000050.XSHE,2016-09-11,兴业证券,,,2,1,2016-09-12 12:11:29,2016-09-12 12:11:29,2.0,,,,
000050.XSHE,2016-09-21,中金公司,23.8400,M06,2,1,2016-09-21 11:25:24,2016-09-21 11:25:24,2.0,23.84,,,
000050.XSHE,2016-09-25,兴业证券,,,2,1,2016-09-26 10:16:43,2016-09-26 10:16:43,2.0,,,,
000050.XSHE,2016-10-07,中金公司,23.8400,M06,2,1,2016-10-10 14:06:33,2016-10-10 14:06:33,2.0,23.84,,,
000050.XSHE,2016-10-10,中金公司,23.8400,M06,2,1,2016-10-10 16:24:42,2016-10-10 16:24:42,2.0,23.84,,,
000050.XSHE,2016-10-11,中金公司,23.8400,M06,2,1,2016-10-11 16:21:58,2016-10-11 16:21:58,2.0,23.84,,,
000050.XSHE,2016-10-12,中金公司,23.8400,M06,2,1,2016-10-13 16:21:01,2016-10-13 16:21:01,2.0,23.84,,,
000050.XSHE,2016-10-16,兴业证券,,,2,1,2016-10-17 14:06:31,2016-10-17 14:06:31,2.0,,,,
000050.XSHE,2016-10-23,兴业证券,,,2,1,2016-10-24 12:12:59,2016-10-24 12:12:59,2.0,,,,
000050.XSHE,2016-10-26,兴业证券,,,2,1,2016-10-27 13:21:39,2016-10-27 13:21:39,2.0,,,,
000050.XSHE,2016-10-27,财信证券,24.0000,M06,2,1,2016-11-02 12:37:15,2016-11-02 12:37:15,2.0,24.0,,,
000050.XSHE,2016-10-27,中金公司,23.8400,M06,2,1,2016-10-27 14:52:28,2016-10-27 14:52:28,2.0,23.84,,,
000050.XSHE,2016-10-30,兴业证券,,,2,1,2016-10-31 21:30:54,2016-10-31 21:30:54,2.0,,,,
000050.XSHE,2016-10-30,中金财富,28.1000,M06,1,1,2016-10-31 21:30:54,2016-10-31 21:30:54,1.0,28.1,,,
000050.XSHE,2016-11-01,兴业证券,,,2,1,2016-11-01 13:43:53,2016-11-01 13:43:53,2.0,,,,
000050.XSHE,2016-11-07,财信证券,,,2,1,2016-11-11 10:39:29,2016-11-11 10:39:29,2.0,,,,
000050.XSHE,2016-11-08,中金公司,23.8400,M06,2,1,2016-11-09 11:48:27,2016-11-09 11:48:27,2.0,23.84,,,
000050.XSHE,2016-11-13,兴业证券,,,2,1,2016-11-14 16:21:34,2016-11-14 16:21:34,2.0,,,,
000050.XSHE,2016-11-16,中金公司,23.8400,M06,2,1,2016-11-16 14:52:42,2016-11-16 14:52:42,2.0,23.84,,,
000050.XSHE,2016-11-17,兴业证券,,,2,1,2016-12-01 21:30:38,2016-12-01 21:30:38,2.0,,,,
000050.XSHE,2016-11-20,兴业证券,,,2,1,2016-11-21 12:11:33,2016-11-21 12:11:33,2.0,,,,
000050.XSHE,2016-11-21,国泰海通证券,,,1,1,2016-11-21 21:30:43,2016-11-21 21:30:43,1.0,,,,
000050.XSHE,2016-12-02,兴业证券,,,2,1,2016-12-02 11:03:19,2016-12-02 11:03:19,2.0,,,,
000050.XSHE,2016-12-05,财信证券,,,2,1,2016-12-07 16:22:56,2016-12-07 16:22:56,2.0,,,,
000050.XSHE,2016-12-07,中金公司,23.8400,M06,2,1,2016-12-07 11:03:29,2016-12-07 11:03:29,2.0,23.84,,,
000050.XSHE,2016-12-15,中金财富,,,1,1,2016-12-20 12:58:13,2016-12-20 12:58:13,1.0,,,,
000050.XSHE,2016-12-16,中金公司,23.8400,M06,2,1,2016-12-16 12:13:13,2016-12-16 12:13:13,2.0,23.84,,,
000050.XSHE,2017-01-09,中金公司,23.8400,M06,2,1,2017-01-09 12:57:32,2017-01-09 12:57:32,2.0,23.84,,,
000050.XSHE,2017-01-19,中金公司,23.8400,M06,2,1,2017-01-19 14:52:34,2017-01-19 14:52:34,2.0,23.84,,,
000050.XSHE,2017-03-03,国投证券,23.7900,M06,1,1,2017-03-03 11:03:46,2017-03-03 11:03:46,1.0,23.79,,,
000050.XSHE,2017-03-07,东北证券,,,1,1,2017-03-07 12:58:02,2017-03-07 12:58:02,1.0,,,,
000050.XSHE,2017-03-12,国投证券,24.9600,M06,1,1,2017-03-13 11:02:47,2017-03-13 11:02:47,1.0,24.96,,,
000050.XSHE,2017-03-14,国泰海通证券,,,1,1,2017-03-14 10:16:36,2017-03-14 10:16:36,1.0,,,,
000050.XSHE,2017-03-16,东北证券,,,1,1,2017-03-16 16:21:25,2017-03-16 16:21:25,1.0,,,,
000050.XSHE,2017-03-16,广发证券,,,1,1,2017-03-16 16:21:25,2017-03-16 16:21:25,1.0,,,,
000050.XSHE,2017-03-19,国泰海通证券,,,1,1,2017-03-20 11:03:00,2017-03-20 11:03:00,1.0,,,,
000050.XSHE,2017-03-22,国金证券,26.1000,M06,1,1,2017-03-23 14:07:02,2017-03-23 14:07:02,1.0,26.1,,,
000050.XSHE,2017-03-22,天风证券,25.9500,M06,1,1,2017-03-25 11:48:27,2017-03-25 11:48:27,1.0,25.95,,,
000050.XSHE,2017-03-23,兴业证券,,,2,1,2017-03-24 11:04:35,2017-03-24 11:04:35,2.0,,,,
000050.XSHE,2017-03-23,中金公司,23.8400,M06,2,1,2017-03-23 11:48:42,2017-03-23 11:48:42,2.0,23.84,,,
000050.XSHE,2017-03-25,国泰海通证券,24.9200,M06,1,1,2017-03-27 10:16:36,2017-03-27 10:16:36,1.0,24.92,,,
000050.XSHE,2017-03-26,国泰海通证券,,,1,1,2017-03-27 12:57:36,2017-03-27 12:57:36,1.0,,,,
000050.XSHE,2017-03-31,天风证券,25.9500,M06,1,1,2017-04-10 16:21:48,2017-04-10 16:21:48,1.0,25.95,,,
000050.XSHE,2017-04-03,中金公司,23.8400,M06,2,1,2017-04-05 21:30:44,2017-04-05 21:30:44,2.0,23.84,,,
000050.XSHE,2017-04-04,国海证券,,,1,1,2017-04-06 09:09:02,2017-04-06 09:09:02,1.0,,,,
000050.XSHE,2017-04-04,广发证券,,,1,1,2017-04-05 21:30:44,2017-04-05 21:30:44,1.0,,,,
000050.XSHE,2017-04-04,国泰海通证券,,,1,1,2017-04-05 14:06:43,2017-04-05 14:06:43,1.0,,,,
