date,order_book_id,size,non_linear_size,momentum,liquidity,book_to_price,leverage,growth,earnings_yield,beta,residual_volatility,comovement,银行,计算机,环保,商贸零售,电力设备,建筑装饰,建筑材料,农林牧渔,电子,交通运输,汽车,纺织服饰,医药生物,房地产,通信,公用事业,综合,机械设备,石油石化,有色金属,传媒,家用电器,基础化工,非银金融,社会服务,轻工制造,国防军工,美容护理,煤炭,食品饮料,钢铁
2018-08-08,002465.XSHE,-0.4239235291775653,0.6735021775272608,-0.40718935831189323,1.0157245884086847,-0.6847649150636659,-1.1910230773264912,-0.41516887196900903,-1.5812441689427688,0.26857251985333325,0.07981951320743072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-09,002465.XSHE,-0.4150756234335992,0.6672453144942879,-0.43532499964210164,0.9994944056223252,-0.691267061232806,-1.1885959978548246,-0.4163112122043471,-1.5790190884295263,0.31516979346163965,0.019210994521795043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-10,002465.XSHE,-0.3999778477975495,0.6554898222766178,-0.3662515820302943,0.9904900221216809,-0.7031626350321397,-1.1875908087137073,-0.41618983160643336,-1.5805641520658047,0.3244469108842178,-0.004022176068850637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-13,002465.XSHE,-0.39349539735044226,0.6494101069423579,-0.26255956209273335,0.9784855763598951,-0.7086469846982469,-1.186179457122479,-0.41896099724474456,-1.5716430770827667,0.31943050611264207,-0.049588658301636376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-14,002465.XSHE,-0.40800039488557877,0.6620585295960459,-0.2951751454922803,0.9658163114328379,-0.6900615891788694,-1.1845203815092618,-0.3932024990831966,-1.551814705483668,0.33946649140813606,-0.02701039921969804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-15,002465.XSHE,-0.3834653899270998,0.6397097068807387,-0.3168224280234076,0.9634956776938249,-0.7178362562881763,-1.1869143212504514,-0.39102284403064946,-1.5682187304110973,0.20918638277677845,0.05291057263721803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-16,002465.XSHE,-0.4064698765159516,0.6600203548192813,-0.34848278539912747,0.969858011920599,-0.694814568576114,-1.1876458518472592,-0.39118718725505647,-1.548032471718781,0.2519009251301534,0.1352032106989259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-17,002465.XSHE,-0.43537444105549766,0.682138249759967,-0.35975239499591405,0.9779719899705119,-0.6616607142876814,-1.1899225023419389,-0.3882170013496992,-1.5330467406814354,0.37500181207202743,0.0970567996813332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-20,002465.XSHE,-0.42487720652060096,0.672013964053383,-0.3196265998620534,0.9846383557257736,-0.675498441886143,-1.1920521814440401,-0.3479207332315749,-1.5518369130130982,0.39471852581196526,0.025833796143501828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-21,002465.XSHE,-0.43632113878621853,0.6822762671693344,-0.36640923234968414,0.9657445864601584,-0.6584833866538429,-1.1915804589627634,-0.35527466762619414,-1.5294434771186707,0.3310021922251364,0.02748035605802375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-22,002465.XSHE,-0.4384690559257103,0.6822067926530931,-0.36674621967190335,0.9600494376152693,-0.664093302597062,-1.1938305970430543,-0.35314429809863596,-1.5309569922071102,0.3293640720941035,0.0009245144261419727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-23,002465.XSHE,-0.4306586477729158,0.6776859794574702,-0.36785554629835304,0.953594062984389,-0.670872412393641,-1.1925865876928987,-0.35474334770334276,-1.5326824526439486,0.3375866974894458,-0.029209903340132192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-24,002465.XSHE,-0.472967903335758,0.7124620776549057,-0.4203678830657392,0.9801076612628598,-0.6180423315482916,-1.245890263185194,-0.47352999563838627,-1.5018799438158124,0.34119557068714534,0.10834609474147676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-27,002465.XSHE,-0.42433829264395934,0.6723890056465428,-0.38130103620383743,1.0021068093979775,-0.6750562463514594,-1.2545024421837736,-0.4531205632787038,-1.5354124804896458,0.678358860384332,0.15207177224072266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-28,002465.XSHE,-0.4027720023531041,0.6547348499032634,-0.4346903411655661,1.0123748586474648,-0.7041211832619241,-1.2609412169811458,-0.44095181824250523,-1.5570148007706357,0.6771589690628778,0.15465949736386145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-29,002465.XSHE,-0.4046605748428039,0.6551212233711892,-0.5025820725486835,1.0123128638413605,-0.7127192620546638,-1.265586931288225,-0.42522383862757046,-1.5644605560074065,0.6765619096452569,0.09451098116802205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-30,002465.XSHE,-0.4233604953157642,0.6697313620187627,-0.43991086022022086,1.0224724640051313,-0.697596178926158,-1.2659675489802065,-0.43247326009337295,-1.5553499373278372,0.723309439957184,0.09121932099647814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-08-31,002465.XSHE,-0.41637536461213154,0.6637612872499679,-0.5432151548157614,1.0257612313285034,-0.7113432395887888,-1.2718179392920246,-0.42576403346699726,-1.56584613041265,0.7100231369332057,0.06585412158746466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-03,002465.XSHE,-0.3895129130076551,0.6403999393608685,-0.6499266716866762,1.040392716944095,-0.7452675462763833,-1.2715701545235936,-0.4239527280502641,-1.5821766008286324,0.6996453102003497,0.06128426182607145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-04,002465.XSHE,-0.3224590005789916,0.5837162130292317,-0.6421611365158928,1.1041147368890536,-0.8253072436763079,-1.2737068156004856,-0.39296137544094817,-1.6488167879690674,0.965122426369852,0.36873560651575926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-05,002465.XSHE,-0.33491122439585524,0.5949687068549694,-0.7291005265374805,1.124467701346863,-0.8146690151467854,-1.2719184147360127,-0.39063381844149453,-1.6388258628823622,1.0119126388442474,0.311382288664639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
